title,url,sku
Mecha Menace Reactive Mastercraft Bundle,https://my.callofduty.com/store/sku/33954565/title/vg,33954565
Heart Breaker,https://my.callofduty.com/store/sku/33954568/title/vg,33954568
Warning Sign,https://my.callofduty.com/store/sku/33954569/title/vg,33954569
Pack Leader Ultra Skin Bundle,https://my.callofduty.com/store/sku/33954566/title/vg,33954566
High Seas,https://my.callofduty.com/store/sku/33954572/title/vg,33954572
Hot Rod,https://my.callofduty.com/store/sku/33954578/title/vg,33954578
Bayou Bruiser,https://my.callofduty.com/store/sku/33954575/title/vg,33954575
Ancient Hunter Mastercraft Bundle,https://my.callofduty.com/store/sku/33954577/title/vg,33954577
Ignition,https://my.callofduty.com/store/sku/33954573/title/vg,33954573
Artic Roar,https://my.callofduty.com/store/sku/33954581/title/vg,33954581
Occult Jade,https://my.callofduty.com/store/sku/33954574/title/vg,33954574
Gustavo Dos Santos Operator Bundle,https://my.callofduty.com/store/sku/33954585/title/vg,33954585
Sky Stalker,https://my.callofduty.com/store/sku/33954592/title/vg,33954592
Sky Crasher,https://my.callofduty.com/store/sku/33954589/title/vg,33954589
Absolute Zero Reactive Mastercraft,https://my.callofduty.com/store/sku/33954590/title/vg,33954590
Black Ice,https://my.callofduty.com/store/sku/33954586/title/vg,33954586
Splash of Color,https://my.callofduty.com/store/sku/33954591/title/vg,33954591
Deterrence Mastercraft,https://my.callofduty.com/store/sku/33954587/title/vg,33954587
Ancient Amber,https://my.callofduty.com/store/sku/33954593/title/vg,33954593
Bone To Pick Mastercraft,https://my.callofduty.com/store/sku/33954588/title/vg,33954588
Full Defense,https://my.callofduty.com/store/sku/33954595/title/vg,33954595
Chemical Response,https://my.callofduty.com/store/sku/33954602/title/vg,33954602
Bombardier,https://my.callofduty.com/store/sku/33954601/title/vg,33954601
Toxic Valkyrie,https://my.callofduty.com/store/sku/33954600/title/vg,33954600
Atomic Aftermath,https://my.callofduty.com/store/sku/33954603/title/vg,33954603
Outback Outlaw,https://my.callofduty.com/store/sku/33954599/title/vg,33954599
Strafe in Style,https://my.callofduty.com/store/sku/33954598/title/vg,33954598
Kill Conductor,https://my.callofduty.com/store/sku/33954604/title/vg,33954604
Weird World,https://my.callofduty.com/store/sku/33954609/title/vg,33954609
All Fired Up,https://my.callofduty.com/store/sku/33954605/title/vg,33954605
Scrambled,https://my.callofduty.com/store/sku/33954606/title/vg,33954606
Crimson Eternal,https://my.callofduty.com/store/sku/33954607/title/vg,33954607
